2026-06-08 03:10:40.010 [info] I0608 03:10:40.010272  4844 server.go:1293] Starting language server process with pid 4844
2026-06-08 03:10:40.010 [info] I0608 03:10:40.010425  4844 server.go:330] Setting GOMAXPROCS to 4
2026-06-08 03:10:40.012 [info] I0608 03:10:40.011717  4844 server.go:473] Language server will attempt to listen on host localhost
2026-06-08 03:10:40.012 [info] I0608 03:10:40.012136  4844 server.go:487] Language server listening on random port at 37327 for HTTPS (gRPC)
2026-06-08 03:10:40.012 [info] I0608 03:10:40.012210  4844 server.go:494] Language server listening on random port at 33613 for HTTP
2026-06-08 03:10:40.832 [info] I0608 03:10:40.830164  4844 server.go:466] Created extension server client at port 43131
2026-06-08 03:10:40.879 [info] E0608 03:10:40.879055  4844 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found
2026-06-08 03:10:40.888 [info] W0608 03:10:40.885593  4844 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
2026-06-08 03:10:40.888 [info] W0608 03:10:40.885637  4844 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
2026-06-08 03:10:40.888 [info] E0608 03:10:40.885675  4844 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found
2026-06-08 03:10:40.888 [info] I0608 03:10:40.886632  4844 server.go:2234] Auth succeeded, refreshing features and managers
2026-06-08 03:10:40.888 [info] E0608 03:10:40.886765  4844 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found
2026-06-08 03:10:40.891 [info] W0608 03:10:40.890756  4844 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
2026-06-08 03:10:40.891 [info] W0608 03:10:40.891152  4844 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
