2026-06-24 02:52:20.186 [info] Client: Pylance client (2026.2.1) started with python extension (2026.4.0)
2026-06-24 02:52:20.221 [info] (44612): Server root directory: file:///home/beast/.vscode/extensions/ms-python.vscode-pylance-2026.2.1/dist
2026-06-24 02:52:20.221 [info] (44612): Pylance language server 2026.2.1 (pyright version 1.1.408, commit 138238b4) starting
2026-06-24 02:52:20.227 [info] (44612): Starting service instance "web-app" for workspace "/thm/web-app"
2026-06-24 02:52:21.507 [info] (44612): Loading background bundle file:///home/beast/.vscode/extensions/ms-python.vscode-pylance-2026.2.1/dist/copilot-background.bundle.js into file:///thm/web-app...
2026-06-24 02:52:21.752 [info] (44612): FG(web-app): Setting environmentName for service "web-app": ".venv (3.13.11)"
2026-06-24 02:52:21.756 [info] (44612): FG(web-app): Setting pythonPath for service "web-app": "/thm/web-app/jwt_tool/.venv/bin/python"
2026-06-24 02:52:21.759 [info] (44612): FG(web-app): No include entries specified; assuming /thm/web-app
2026-06-24 02:52:21.759 [info] (44612): FG(web-app): Auto-excluding **/node_modules
2026-06-24 02:52:21.759 [info] (44612): FG(web-app): Auto-excluding **/__pycache__
2026-06-24 02:52:21.759 [info] (44612): FG(web-app): Auto-excluding **/.*
2026-06-24 02:52:21.789 [info] (44612): FG(web-app): Assuming Python version 3.13.11.final.0
2026-06-24 02:52:22.015 [info] (44612): [Editable Installs] Starting dynamic pth file resolution for Python: /thm/web-app/jwt_tool/.venv/bin/python
2026-06-24 02:52:22.032 [info] (44612): [Editable Installs] No sandbox available for Python /thm/web-app/jwt_tool/.venv/bin/python. Dynamic pth file resolution requires Python 3.13 or later.
2026-06-24 02:52:22.058 [info] (44612): FG(web-app): Found 4 source files
2026-06-24 02:52:22.087 [info] (44612): Settings have not changed. Skipping update.
2026-06-24 02:52:22.090 [info] (44612): Starting Mcp server id:47918 ...
2026-06-24 02:52:22.110 [info] (44612): Settings have not changed. Skipping update.
2026-06-24 02:52:22.116 [info] (44612): Settings have not changed. Skipping update.
2026-06-24 02:52:22.513 [info] (44612): PQ(web-app): Priority queue background worker(2) root directory: file:///home/beast/.vscode/extensions/ms-python.vscode-pylance-2026.2.1/dist
2026-06-24 02:52:22.517 [info] (44612): PQ(web-app): Priority queue background worker(2) started
2026-06-24 02:52:22.724 [info] (44612): FG(web-app): Found 4 source files
2026-06-24 02:52:23.000 [info] (44612): FG(web-app): IDX(web-app): Indexer background runner(3) root directory: file:///home/beast/.vscode/extensions/ms-python.vscode-pylance-2026.2.1/dist (index)
2026-06-24 02:52:23.000 [info] (44612): FG(web-app): IDX(web-app): Indexing(3) started
2026-06-24 02:52:23.003 [info] (44612): FG(web-app): IDX(web-app): Indexing finished(3).
2026-06-24 02:52:27.996 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.000 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/81d243bd2c585b0f4821__mypyc.cpython-313-x86_64-linux-gnu.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.000 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.000 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.000 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_ARC4.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.000 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_Salsa20.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.000 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_chacha20.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.000 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_pkcs1_decode.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.001 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_aes.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.001 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_aesni.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.001 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_arc2.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.001 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_blowfish.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.001 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_cast.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.001 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_cbc.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.001 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_cfb.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.002 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_ctr.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.002 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_des.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.003 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_des3.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.003 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_ecb.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.004 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_eksblowfish.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.005 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_ocb.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.008 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Cipher/_raw_ofb.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.008 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.008 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_BLAKE2b.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.008 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_BLAKE2s.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.009 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_MD2.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.009 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_MD4.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.009 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_MD5.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.010 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_RIPEMD160.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.010 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_SHA1.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.010 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_SHA224.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.010 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_SHA256.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.010 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_SHA384.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.010 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_SHA512.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_ghash_clmul.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_ghash_portable.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_keccak.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Hash/_poly1305.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/IO. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Math. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Math/_modexp.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Protocol. This indicates the upstream filter in changedWatchedFiles was bypassed.
